Anno,Paese,Codice Paese,BiocapPerCap,EFConsPerCap,Numero di Terre consumate,Overshoot Date,Quanti Territori,BiocapTotGHA,EFConsTotGHA,Biocap Built-up Land,Biocap Carbon,Biocap Cropland,Biocap Fishing Grounds,Biocap Forest Products,Biocap Grazing Land,EF Built-up Land,EF Carbon,EF Cropland,EF Fishing Grounds,EF Forest Products,EF Grazing Land,Indice di sviluppo umano (HDI),Popolazione,Prodotto interno lordo (PIL),Punteggio qualità dei dati
2000,Europa,2002,3.141,5.450,3.053,2000-04-29,1.73,2047800566.40,3552787356.63,74827946.35,0.00,473240472.26,287256307.42,1066900405.09,145575435.28,74827946.35,2203824992.07,580994026.84,139448070.27,389035908.97,164656412.12,0.80,N/D,N/D,
2000,Europa,2002,3.157,5.555,3.112,2000-04-27,1.76,2068342907.28,3649362380.31,84501344.27,0.00,479229748.00,283179903.26,1078268044.14,143163867.63,84501344.27,2336049796.09,571737182.27,129456221.68,355723125.50,171894710.50,0.84,N/D,N/D,PROIEZIONE
2000,Mondo,5001,1.826,2.574,1.442,2000-09-10,1.41,11227518503.21,15827422934.38,274471292.45,0.00,2661384100.62,1085268672.08,5589045861.12,1617348576.95,274471292.45,9229157316.31,2661384100.62,625993718.56,1967944192.80,1068472313.62,0.64,6148899840.00,5544.85,3A
2000,Mondo,5001,1.785,2.895,1.622,2000-08-13,1.60,11327211356.03,18167407814.74,302150050.19,0.00,2843830267.42,1065676704.90,5558488444.78,1557065888.73,302150050.19,11447387597.35,2843830267.42,630762877.95,1874763266.48,1068513755.37,0.66,6193684021.64,N/D,PROIEZIONE
2001,Europa,2002,3.206,5.666,3.198,2001-04-24,1.77,2091276325.59,3695985770.46,75442591.44,0.00,506421846.92,287798834.62,1076228939.93,145384112.69,75442591.44,2321671551.44,623537743.61,144385066.65,377125700.39,153823116.93,0.81,N/D,N/D,
2001,Europa,2002,3.157,5.515,3.112,2001-04-27,1.75,2072129106.24,3627891228.03,84766881.81,0.00,483976348.30,283201505.22,1077348081.79,142836289.13,84766881.81,2311362620.42,573859607.58,129067037.18,358659884.95,170175196.10,0.84,N/D,N/D,PROIEZIONE
2001,Mondo,5001,1.813,2.608,1.472,2001-09-05,1.44,11298724461.93,16251683467.68,289598965.67,0.00,2668355005.75,1087172686.64,5621701911.27,1631895892.60,289598965.67,9662423881.09,2668355005.75,633017790.11,1926200940.50,1072086884.56,0.65,6230750208.00,5432.57,3A
2001,Mondo,5001,1.772,2.883,1.627,2001-08-12,1.61,11358642485.17,18299408716.01,311827683.00,0.00,2880915958.56,1066056813.07,5544936219.87,1554905810.66,311827683.00,11517181197.13,2880915958.56,633258819.81,1890045017.58,1066180039.95,0.67,6275185585.98,N/D,PROIEZIONE
2002,Europa,2002,3.204,5.352,3.043,2002-04-30,1.67,2091779027.34,3494112430.79,76558157.04,0.00,504802430.32,288127662.53,1077159113.31,145131664.14,76558157.04,2141322229.80,615005532.82,137882252.90,367490361.23,155853897.00,0.82,N/D,N/D,
2002,Europa,2002,3.158,5.476,3.113,2002-04-27,1.74,2075915305.20,3606420075.74,85032419.35,0.00,488722948.60,283223107.18,1076428119.45,142508710.63,85032419.35,2286675444.75,575982032.89,128677852.67,361596644.40,168455681.69,0.84,N/D,N/D,PROIEZIONE
2002,Mondo,5001,1.788,2.498,1.420,2002-09-14,1.40,11285441338.01,15768122275.91,292117626.80,0.00,2663319731.39,1088624717.80,5610387350.18,1630991911.85,292117626.80,9152050956.91,2663319731.39,626897007.52,1962079524.94,1071657428.35,0.65,6312410112.00,5538.28,3A
2002,Mondo,5001,1.759,2.871,1.632,2002-08-12,1.62,11390073614.30,18431409617.29,321505315.80,0.00,2918001649.70,1066436921.24,5531383994.96,1552745732.59,321505315.80,11586974796.92,2918001649.70,635754761.67,1905326768.68,1063846324.53,0.67,6356687150.32,N/D,PROIEZIONE
2003,Europa,2002,3.145,5.377,3.080,2003-04-29,1.71,2055694062.32,3514981028.56,72843021.79,0.00,478675247.69,286915314.80,1073171169.25,144089308.79,72843021.79,2174282603.45,584993533.53,147277617.79,377693961.86,157890290.13,0.82,N/D,N/D,
2003,Europa,2002,3.159,5.436,3.113,2003-04-27,1.72,2079701504.16,3584948923.45,85297956.88,0.00,493469548.90,283244709.13,1075508157.10,142181132.14,85297956.88,2261988269.08,578104458.20,128288668.16,364533403.85,166736167.28,0.85,N/D,N/D,PROIEZIONE
2003,Mondo,5001,1.763,2.533,1.451,2003-09-09,1.44,11271333729.45,16196195050.22,299340083.89,0.00,2706811981.65,1083819276.94,5573555137.65,1607807249.31,299340083.89,9485877928.68,2706811981.65,650638884.91,1986794249.01,1066731922.08,0.66,6393900032.00,6138.70,3A
2003,Mondo,5001,1.746,2.860,1.638,2003-08-11,1.63,11421504743.44,18563410518.56,331182948.61,0.00,2955087340.84,1066817029.41,5517831770.05,1550585654.52,331182948.61,11656768396.70,2955087340.84,638250703.53,1920608519.78,1061512609.11,0.67,6438188714.67,N/D,PROIEZIONE
2004,Europa,2002,3.231,5.538,3.194,2004-04-24,1.71,2115680687.72,3625901385.41,82906187.67,0.00,531931657.09,286433989.39,1071537209.43,142871644.14,82906187.67,2218314388.84,653879697.16,136353486.49,376609777.52,157837847.73,0.83,N/D,N/D,
2004,Europa,2002,3.160,5.396,3.112,2004-04-27,1.71,2083487703.12,3563477771.16,85563494.42,0.00,498216149.21,283266311.09,1074588194.76,141853553.64,85563494.42,2237301093.41,580226883.51,127899483.65,367470163.30,165016652.87,0.85,N/D,N/D,PROIEZIONE
2004,Mondo,5001,1.758,2.633,1.518,2004-08-28,1.50,11386896719.82,17052807462.43,324446851.85,0.00,2849220808.04,1077917823.64,5549084702.33,1586226533.96,324446851.85,10122096135.13,2849220808.04,667103385.00,2023568308.04,1066371974.37,0.67,6475749888.00,6822.19,3A
